id,numero,date_debut,date_signature,date_fin,statut,departement,chemin_fichier,niveau_gravite_specifique_aep,ressource_aep_communique,regle_gestion,arrete_cadre.id,arrete_cadre.numero,arrete_cadre.date_debut,arrete_cadre.date_fin,arrete_cadre.chemin_fichier,zones_alerte.id,zones_alerte.type,zones_alerte.code,zones_alerte.nom,zones_alerte.niveau_gravite,zones_alerte.id_sandre,zones_alerte.communes
22168,12,2011-09-29,2011-09-28,2011-10-31,abroge,33,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22168/arr%C3%AAt%C3%A9%20du%2028%20septembre%202011.pdf,null,null,undefined,,,,,,,,,,,,
22183,2011-1475- bis,2011-09-30,2011-09-30,2011-10-05,abroge,15,,null,null,undefined,,,,,,,,,,,,
22173,2011-81-0060Bernazobre,2011-09-30,2011-09-29,2011-10-31,abroge,81,,null,null,undefined,,,,,,,,,,,,
22176,2011_810045Tescou,2011-09-30,2011-09-29,2011-10-31,abroge,81,,null,null,undefined,,,,,,,,,,,,
22171,2011_810016Agros,2011-09-30,2011-09-29,2011-10-31,abroge,81,,null,null,undefined,,,,,,,,,,,,
22174,2011-81-0038Cérou,2011-09-30,2011-09-29,2011-10-31,abroge,81,,null,null,undefined,,,,,,,,,,,,
22172,2011_810026Assou,2011-09-30,2011-09-29,2011-10-31,abroge,81,,null,null,undefined,,,,,,,,,,,,
22177,2011 81008Vère,2011-09-30,2011-09-29,2011-10-31,abroge,81,,null,null,undefined,,,,,,,,,,,,
22175,2011 810076EnGuibaud,2011-09-30,2011-09-29,2011-10-31,abroge,81,,null,null,undefined,,,,,,,,,,,,
22184,2011-273-04,2011-10-01,2011-09-30,2011-10-31,abroge,23,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22184/arrete%202011-273-04.pdf,null,null,undefined,21656,2006-0751,2006-07-06,2019-07-02,,,,,,,,
22186,2011-208/DIPPAL/B3,2011-10-04,2011-10-04,2011-10-10,abroge,43,,null,null,undefined,,,,,,,,,,,,
22185,2011DDTSEPR428,2011-10-05,2011-09-30,2011-10-05,abroge,77,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22185/ap_levee_restrictions_loing.odt,null,null,undefined,,,,,,,,,,,,
22219,SPE-DDT N° 2011-19,2011-10-05,2011-10-04,2011-10-31,abroge,49,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22219/arr%C3%AAt%C3%A9%202011%2019.pdf,null,null,undefined,,,,,,,,,,,,
22190,2011-1498- bis,2011-10-06,2011-10-06,2011-10-12,abroge,15,,null,null,undefined,,,,,,,,,,,,
22207,2011278-0002,2011-10-06,2011-10-05,2011-10-31,abroge,32,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22207/ap_interdiction_douze_2011278-0002.pdf,null,null,undefined,21289,2004-07-06_Midouze,2004-07-06,,,,,,,,,
22234,357,2011-10-07,2011-09-30,2011-11-30,abroge,21,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22234/ap_30-09-2011%20signe.pdf,null,null,undefined,21308,273,2010-06-25,,,,,,,,,
22191,2011-1500 Bis,2011-10-07,2011-10-06,2011-10-12,abroge,15,,null,null,undefined,,,,,,,,,,,,
22214,DDT/SEEP/2011/028,2011-10-07,2011-10-07,2011-10-31,abroge,89,,null,null,undefined,,,,,,,,,,,,
22215,DDT/SEEP/2011/027,2011-10-07,2011-10-07,2011-10-31,abroge,89,,null,null,undefined,,,,,,,,,,,,
22187,2011-279-0002,2011-10-08,2011-10-06,2011-10-17,abroge,82,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22187/ap_20111006_sdpe82_gestion-crise-restriction-2011-eau-ap-2011-279-0002.pdf,null,null,undefined,,,,,,,,,,,,
22199,2011-220-DIPAL-B3,2011-10-12,2011-10-12,2011-10-18,abroge,43,,null,null,undefined,,,,,,,,,,,,
22200,2011284-0003,2011-10-12,2011-10-11,2011-11-01,abroge,12,https://regleau.s3.gra.perf.cloud.ovh.net//arrete-restriction/22200/arr_s%C3%A8cheresse_sign%C3%A9_20111011.pdf,null,null,undefined,21570,2011180-0003,2011-06-01,2011-10-31,,,,,,,,
